




Analysis Type:	PANTHER Overrepresentation Test (Released 20220202)
Annotation Version and Release Date:	GO Ontology database DOI:  10.5281/zenodo.5725227 Released 2020-11-01
Analyzed List:	upload_1 (Synechocystis)
Reference List:	Synechocystis (all genes in database)
Test Type:	FISHER
Correction:	FDR
GO biological process complete	Synechocystis - REFLIST (3448)	upload_1 (29)	upload_1 (expected)	upload_1 (over/under)	upload_1 (fold Enrichment)	upload_1 (raw P-value)	upload_1 (FDR)
DNA packaging (GO:0006323)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
glucosylceramide catabolic process (GO:0006680)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
liposaccharide metabolic process (GO:1903509)	24	0	.20	-	 < 0.01	1.00E00	1.00E00
negative regulation of nucleic acid-templated transcription (GO:1903507)	12	0	.10	-	 < 0.01	1.00E00	1.00E00
dATP catabolic process (GO:0046061)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
dATP metabolic process (GO:0046060)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
glucosylceramide biosynthetic process (GO:0006679)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
glucosylceramide metabolic process (GO:0006678)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
glycosylceramide metabolic process (GO:0006677)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
transposition, DNA-mediated (GO:0006313)	24	0	.20	-	 < 0.01	1.00E00	1.00E00
DNA recombination (GO:0006310)	54	0	.45	-	 < 0.01	1.00E00	1.00E00
ceramide metabolic process (GO:0006672)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
oxalate metabolic process (GO:0033609)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
D-alanine transport (GO:0042941)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
D-amino acid transport (GO:0042940)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
tRNA-guanine transglycosylation (GO:0101030)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
cAMP metabolic process (GO:0046058)	3	0	.03	-	 < 0.01	1.00E00	1.00E00
UTP catabolic process (GO:0046052)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
UTP metabolic process (GO:0046051)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
regulation of localization (GO:0032879)	10	0	.08	-	 < 0.01	1.00E00	1.00E00
UMP catabolic process (GO:0046050)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
cellular response to chemical stress (GO:0062197)	14	0	.12	-	 < 0.01	1.00E00	1.00E00
ether metabolic process (GO:0018904)	3	0	.03	-	 < 0.01	1.00E00	1.00E00
malonyl-CoA biosynthetic process (GO:2001295)	3	0	.03	-	 < 0.01	1.00E00	1.00E00
malonyl-CoA metabolic process (GO:2001293)	3	0	.03	-	 < 0.01	1.00E00	1.00E00
DNA dealkylation involved in DNA repair (GO:0006307)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
regulation of response to stimulus (GO:0048583)	6	0	.05	-	 < 0.01	1.00E00	1.00E00
DNA methylation (GO:0006306)	9	0	.08	-	 < 0.01	1.00E00	1.00E00
cellular response to hormone stimulus (GO:0032870)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
DNA alkylation (GO:0006305)	9	0	.08	-	 < 0.01	1.00E00	1.00E00
glycosylation (GO:0070085)	6	0	.05	-	 < 0.01	1.00E00	1.00E00
DNA modification (GO:0006304)	14	0	.12	-	 < 0.01	1.00E00	1.00E00
protein initiator methionine removal (GO:0070084)	3	0	.03	-	 < 0.01	1.00E00	1.00E00
iron coordination entity transport (GO:1901678)	4	0	.03	-	 < 0.01	1.00E00	1.00E00
sphingolipid metabolic process (GO:0006665)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
double-strand break repair (GO:0006302)	9	0	.08	-	 < 0.01	1.00E00	1.00E00
glycolipid metabolic process (GO:0006664)	13	0	.11	-	 < 0.01	1.00E00	1.00E00
postreplication repair (GO:0006301)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
glycerol ether metabolic process (GO:0006662)	3	0	.03	-	 < 0.01	1.00E00	1.00E00
phosphatidylinositol biosynthetic process (GO:0006661)	3	0	.03	-	 < 0.01	1.00E00	1.00E00
tRNA 5'-end processing (GO:0099116)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
UMP metabolic process (GO:0046049)	10	0	.08	-	 < 0.01	1.00E00	1.00E00
UDP metabolic process (GO:0046048)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
TTP catabolic process (GO:0046047)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
protein stabilization (GO:0050821)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
TTP metabolic process (GO:0046046)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
DNA duplex unwinding (GO:0032508)	11	0	.09	-	 < 0.01	1.00E00	1.00E00
IMP metabolic process (GO:0046040)	17	0	.14	-	 < 0.01	1.00E00	1.00E00
cytokinetic process (GO:0032506)	6	0	.05	-	 < 0.01	1.00E00	1.00E00
reproduction of a single-celled organism (GO:0032505)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
developmental process (GO:0032502)	5	0	.04	-	 < 0.01	1.00E00	1.00E00
chlorophyll biosynthetic process (GO:0015995)	20	0	.17	-	 < 0.01	1.00E00	1.00E00
chlorophyll metabolic process (GO:0015994)	20	0	.17	-	 < 0.01	1.00E00	1.00E00
electron transport coupled proton transport (GO:0015990)	8	0	.07	-	 < 0.01	1.00E00	1.00E00
phosphatidic acid biosynthetic process (GO:0006654)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
quinone biosynthetic process (GO:1901663)	10	0	.08	-	 < 0.01	1.00E00	1.00E00
glycerophospholipid metabolic process (GO:0006650)	8	0	.07	-	 < 0.01	1.00E00	1.00E00
quinone metabolic process (GO:1901661)	10	0	.08	-	 < 0.01	1.00E00	1.00E00
GTP metabolic process (GO:0046039)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
regulation of response to stress (GO:0080134)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
GMP metabolic process (GO:0046037)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
CTP metabolic process (GO:0046036)	3	0	.03	-	 < 0.01	1.00E00	1.00E00
UDP-glucuronate metabolic process (GO:0046398)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
magnesium ion transmembrane transport (GO:1903830)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
AMP metabolic process (GO:0046033)	5	0	.04	-	 < 0.01	1.00E00	1.00E00
carboxylic acid catabolic process (GO:0046395)	31	0	.26	-	 < 0.01	1.00E00	1.00E00
carboxylic acid biosynthetic process (GO:0046394)	120	0	1.01	-	 < 0.01	6.24E-01	1.00E00
5-phosphoribose 1-diphosphate metabolic process (GO:0046391)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
protein secretion by the type II secretion system (GO:0015628)	3	0	.03	-	 < 0.01	1.00E00	1.00E00
ribose phosphate biosynthetic process (GO:0046390)	61	0	.51	-	 < 0.01	1.00E00	1.00E00
energy coupled proton transmembrane transport, against electrochemical gradient (GO:0015988)	8	0	.07	-	 < 0.01	1.00E00	1.00E00
ATP synthesis coupled proton transport (GO:0015986)	9	0	.08	-	 < 0.01	1.00E00	1.00E00
energy coupled proton transport, down electrochemical gradient (GO:0015985)	9	0	.08	-	 < 0.01	1.00E00	1.00E00
glycosyl compound biosynthetic process (GO:1901659)	10	0	.08	-	 < 0.01	1.00E00	1.00E00
glycosyl compound catabolic process (GO:1901658)	3	0	.03	-	 < 0.01	1.00E00	1.00E00
energy derivation by oxidation of organic compounds (GO:0015980)	45	0	.38	-	 < 0.01	1.00E00	1.00E00
glycosyl compound metabolic process (GO:1901657)	20	0	.17	-	 < 0.01	1.00E00	1.00E00
phospholipid metabolic process (GO:0006644)	26	0	.22	-	 < 0.01	1.00E00	1.00E00
membrane lipid metabolic process (GO:0006643)	15	0	.13	-	 < 0.01	1.00E00	1.00E00
negative regulation of phosphate transmembrane transport (GO:2000186)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
regulation of phosphate transmembrane transport (GO:2000185)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
establishment of protein localization to endoplasmic reticulum (GO:0072599)	4	0	.03	-	 < 0.01	1.00E00	1.00E00
positive regulation of protein modification process (GO:0031401)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
establishment of protein localization to organelle (GO:0072594)	4	0	.03	-	 < 0.01	1.00E00	1.00E00
reactive oxygen species metabolic process (GO:0072593)	4	0	.03	-	 < 0.01	1.00E00	1.00E00
ion homeostasis (GO:0050801)	20	0	.17	-	 < 0.01	1.00E00	1.00E00
vitamin E biosynthetic process (GO:0010189)	3	0	.03	-	 < 0.01	1.00E00	1.00E00
deoxyribose phosphate catabolic process (GO:0046386)	3	0	.03	-	 < 0.01	1.00E00	1.00E00
CAAX-box protein maturation (GO:0080120)	7	0	.06	-	 < 0.01	1.00E00	1.00E00
deoxyribose phosphate biosynthetic process (GO:0046385)	3	0	.03	-	 < 0.01	1.00E00	1.00E00
dTDP-rhamnose metabolic process (GO:0046383)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
photosynthesis (GO:0015979)	117	0	.98	-	 < 0.01	6.24E-01	1.00E00
carbon fixation (GO:0015977)	18	0	.15	-	 < 0.01	1.00E00	1.00E00
carbon utilization (GO:0015976)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
acyl-CoA metabolic process (GO:0006637)	9	0	.08	-	 < 0.01	1.00E00	1.00E00
unsaturated fatty acid biosynthetic process (GO:0006636)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
fatty acid beta-oxidation (GO:0006635)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
guanosine tetraphosphate biosynthetic process (GO:0015970)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
organelle organization (GO:0006996)	43	0	.36	-	 < 0.01	1.00E00	1.00E00
xenobiotic transport (GO:0042908)	8	0	.07	-	 < 0.01	1.00E00	1.00E00
fatty acid biosynthetic process (GO:0006633)	19	0	.16	-	 < 0.01	1.00E00	1.00E00
chaperone-mediated protein folding (GO:0061077)	7	0	.06	-	 < 0.01	1.00E00	1.00E00
fatty acid metabolic process (GO:0006631)	24	0	.20	-	 < 0.01	1.00E00	1.00E00
reproductive process (GO:0022414)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
cellular component disassembly (GO:0022411)	10	0	.08	-	 < 0.01	1.00E00	1.00E00
extracellular polysaccharide metabolic process (GO:0046379)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
DNA demethylation (GO:0080111)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
L-arabinose metabolic process (GO:0046373)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
cellular response to endogenous stimulus (GO:0071495)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
guanosine tetraphosphate metabolic process (GO:0015969)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
lipid metabolic process (GO:0006629)	93	0	.78	-	 < 0.01	1.00E00	1.00E00
L-isoleucine import across plasma membrane (GO:1903806)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
cell cycle process (GO:0022402)	9	0	.08	-	 < 0.01	1.00E00	1.00E00
beta-lactam antibiotic catabolic process (GO:0030655)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
GDP-L-fucose metabolic process (GO:0046368)	3	0	.03	-	 < 0.01	1.00E00	1.00E00
beta-lactam antibiotic metabolic process (GO:0030653)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
cellular response to red or far red light (GO:0071489)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
monosaccharide catabolic process (GO:0046365)	5	0	.04	-	 < 0.01	1.00E00	1.00E00
monosaccharide biosynthetic process (GO:0046364)	6	0	.05	-	 < 0.01	1.00E00	1.00E00
cellular response to blue light (GO:0071483)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
cell septum assembly (GO:0090529)	6	0	.05	-	 < 0.01	1.00E00	1.00E00
cellular response to light stimulus (GO:0071482)	3	0	.03	-	 < 0.01	1.00E00	1.00E00
response to oxidative stress (GO:0006979)	15	0	.13	-	 < 0.01	1.00E00	1.00E00
SRP-dependent cotranslational protein targeting to membrane, translocation (GO:0006616)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
SRP-dependent cotranslational protein targeting to membrane (GO:0006614)	4	0	.03	-	 < 0.01	1.00E00	1.00E00
cotranslational protein targeting to membrane (GO:0006613)	4	0	.03	-	 < 0.01	1.00E00	1.00E00
sulfur amino acid biosynthetic process (GO:0000097)	15	0	.13	-	 < 0.01	1.00E00	1.00E00
protein targeting to membrane (GO:0006612)	4	0	.03	-	 < 0.01	1.00E00	1.00E00
sulfur amino acid metabolic process (GO:0000096)	16	0	.13	-	 < 0.01	1.00E00	1.00E00
response to osmotic stress (GO:0006970)	5	0	.04	-	 < 0.01	1.00E00	1.00E00
cellular phosphate ion homeostasis (GO:0030643)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
cellular response to radiation (GO:0071478)	3	0	.03	-	 < 0.01	1.00E00	1.00E00
purine nucleobase salvage (GO:0043096)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
regulation of cellular pH (GO:0030641)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
cellular metabolic compound salvage (GO:0043094)	8	0	.07	-	 < 0.01	1.00E00	1.00E00
FtsZ-dependent cytokinesis (GO:0043093)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
disaccharide biosynthetic process (GO:0046351)	4	0	.03	-	 < 0.01	1.00E00	1.00E00
nucleobase-containing small molecule interconversion (GO:0015949)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
amino acid import (GO:0043090)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
cellular response to osmotic stress (GO:0071470)	5	0	.04	-	 < 0.01	1.00E00	1.00E00
negative regulation of cellular process (GO:0048523)	27	0	.23	-	 < 0.01	1.00E00	1.00E00
pantothenate catabolic process (GO:0015941)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
organic hydroxy compound biosynthetic process (GO:1901617)	16	0	.13	-	 < 0.01	1.00E00	1.00E00
protein targeting (GO:0006605)	8	0	.07	-	 < 0.01	1.00E00	1.00E00
pantothenate biosynthetic process (GO:0015940)	3	0	.03	-	 < 0.01	1.00E00	1.00E00
organic hydroxy compound catabolic process (GO:1901616)	8	0	.07	-	 < 0.01	1.00E00	1.00E00
organic hydroxy compound metabolic process (GO:1901615)	34	0	.29	-	 < 0.01	1.00E00	1.00E00
negative regulation of cell motility (GO:2000146)	8	0	.07	-	 < 0.01	1.00E00	1.00E00
regulation of cell motility (GO:2000145)	8	0	.07	-	 < 0.01	1.00E00	1.00E00
regulation of DNA-templated transcription, initiation (GO:2000142)	6	0	.05	-	 < 0.01	1.00E00	1.00E00
amino sugar biosynthetic process (GO:0046349)	3	0	.03	-	 < 0.01	1.00E00	1.00E00
amino sugar catabolic process (GO:0046348)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
D-alanine biosynthetic process (GO:0030632)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
negative regulation of catalytic activity (GO:0043086)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
positive regulation of catalytic activity (GO:0043085)	3	0	.03	-	 < 0.01	1.00E00	1.00E00
DNA conformation change (GO:0071103)	18	0	.15	-	 < 0.01	1.00E00	1.00E00
CDP-diacylglycerol metabolic process (GO:0046341)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
pantothenate metabolic process (GO:0015939)	4	0	.03	-	 < 0.01	1.00E00	1.00E00
negative regulation of biological process (GO:0048519)	29	0	.24	-	 < 0.01	1.00E00	1.00E00
coenzyme A biosynthetic process (GO:0015937)	4	0	.03	-	 < 0.01	1.00E00	1.00E00
coenzyme A metabolic process (GO:0015936)	4	0	.03	-	 < 0.01	1.00E00	1.00E00
chemical homeostasis (GO:0048878)	21	0	.18	-	 < 0.01	1.00E00	1.00E00
RNA phosphodiester bond hydrolysis, exonucleolytic (GO:0090503)	4	0	.03	-	 < 0.01	1.00E00	1.00E00
RNA phosphodiester bond hydrolysis, endonucleolytic (GO:0090502)	17	0	.14	-	 < 0.01	1.00E00	1.00E00
RNA phosphodiester bond hydrolysis (GO:0090501)	28	0	.24	-	 < 0.01	1.00E00	1.00E00
rhythmic process (GO:0048511)	6	0	.05	-	 < 0.01	1.00E00	1.00E00
alpha-amino acid biosynthetic process (GO:1901607)	72	0	.61	-	 < 0.01	1.00E00	1.00E00
alpha-amino acid catabolic process (GO:1901606)	20	0	.17	-	 < 0.01	1.00E00	1.00E00
alpha-amino acid metabolic process (GO:1901605)	106	0	.89	-	 < 0.01	1.00E00	1.00E00
cellular response to toxic substance (GO:0097237)	19	0	.16	-	 < 0.01	1.00E00	1.00E00
defense response (GO:0006952)	22	0	.19	-	 < 0.01	1.00E00	1.00E00
pyrimidine ribonucleotide salvage (GO:0010138)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
sulfate assimilation via adenylyl sulfate reduction (GO:0010134)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
proline catabolic process to glutamate (GO:0010133)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
cellular developmental process (GO:0048869)	3	0	.03	-	 < 0.01	1.00E00	1.00E00
cellular response to superoxide (GO:0071451)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
cellular response to oxygen radical (GO:0071450)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
lipopolysaccharide export (GO:0015921)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
lipopolysaccharide transport (GO:0015920)	8	0	.07	-	 < 0.01	1.00E00	1.00E00
RNA (guanine-N7)-methylation (GO:0036265)	3	0	.03	-	 < 0.01	1.00E00	1.00E00
membrane organization (GO:0061024)	3	0	.03	-	 < 0.01	1.00E00	1.00E00
fatty acid oxidation (GO:0019395)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
alpha-glucan biosynthetic process (GO:0030979)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
alpha-glucan metabolic process (GO:0030978)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
response to arsenic-containing substance (GO:0046685)	4	0	.03	-	 < 0.01	1.00E00	1.00E00
peroxisomal membrane transport (GO:0015919)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
anatomical structure development (GO:0048856)	5	0	.04	-	 < 0.01	1.00E00	1.00E00
phospholipid transport (GO:0015914)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
positive regulation of cell differentiation (GO:0045597)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
regulation of cell differentiation (GO:0045595)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
inorganic cation transmembrane transport (GO:0098662)	60	0	.50	-	 < 0.01	1.00E00	1.00E00
long-chain fatty acid import into peroxisome (GO:0015910)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
galactose catabolic process (GO:0019388)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
pyrimidine-containing compound catabolic process (GO:0072529)	5	0	.04	-	 < 0.01	1.00E00	1.00E00
sequestering of iron ion (GO:0097577)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
pyrimidine-containing compound biosynthetic process (GO:0072528)	21	0	.18	-	 < 0.01	1.00E00	1.00E00
argininosuccinate metabolic process (GO:0000053)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
pyrimidine-containing compound metabolic process (GO:0072527)	27	0	.23	-	 < 0.01	1.00E00	1.00E00
negative regulation of cellular macromolecule biosynthetic process (GO:2000113)	15	0	.13	-	 < 0.01	1.00E00	1.00E00
citrulline metabolic process (GO:0000052)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
pyridine-containing compound catabolic process (GO:0072526)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
pyridine-containing compound biosynthetic process (GO:0072525)	14	0	.12	-	 < 0.01	1.00E00	1.00E00
urea cycle (GO:0000050)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
pyridine-containing compound metabolic process (GO:0072524)	16	0	.13	-	 < 0.01	1.00E00	1.00E00
purine-containing compound catabolic process (GO:0072523)	3	0	.03	-	 < 0.01	1.00E00	1.00E00
purine-containing compound biosynthetic process (GO:0072522)	51	0	.43	-	 < 0.01	1.00E00	1.00E00
protein-chromophore linkage (GO:0018298)	29	0	.24	-	 < 0.01	1.00E00	1.00E00
response to antibiotic (GO:0046677)	9	0	.08	-	 < 0.01	1.00E00	1.00E00
long-chain fatty acid transport (GO:0015909)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
fatty acid transport (GO:0015908)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
inorganic cation import across plasma membrane (GO:0098659)	3	0	.03	-	 < 0.01	1.00E00	1.00E00
external encapsulating structure organization (GO:0045229)	23	0	.19	-	 < 0.01	1.00E00	1.00E00
import into cell (GO:0098657)	6	0	.05	-	 < 0.01	1.00E00	1.00E00
extracellular polysaccharide biosynthetic process (GO:0045226)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
cation transmembrane transport (GO:0098655)	70	0	.59	-	 < 0.01	1.00E00	1.00E00
sulfate assimilation, phosphoadenylyl sulfate reduction by phosphoadenylyl-sulfate reductase (thioredoxin) (GO:0019379)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
glycolipid catabolic process (GO:0019377)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
transition metal ion transport (GO:0000041)	16	0	.13	-	 < 0.01	1.00E00	1.00E00
regulation of photosynthesis (GO:0010109)	3	0	.03	-	 < 0.01	1.00E00	1.00E00
cellular response to iron ion starvation (GO:0010106)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
peptide biosynthetic process (GO:0043043)	105	0	.88	-	 < 0.01	1.00E00	1.00E00
very long-chain fatty acid metabolic process (GO:0000038)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
divalent inorganic cation homeostasis (GO:0072507)	3	0	.03	-	 < 0.01	1.00E00	1.00E00
trivalent inorganic anion homeostasis (GO:0072506)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
pyridine nucleotide catabolic process (GO:0019364)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
pyridine nucleotide biosynthetic process (GO:0019363)	11	0	.09	-	 < 0.01	1.00E00	1.00E00
pyridine nucleotide metabolic process (GO:0019362)	13	0	.11	-	 < 0.01	1.00E00	1.00E00
cellular divalent inorganic cation homeostasis (GO:0072503)	3	0	.03	-	 < 0.01	1.00E00	1.00E00
peptidyl-glutamate ADP-deribosylation (GO:0140291)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
cellular trivalent inorganic anion homeostasis (GO:0072502)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
tRNA aminoacylation (GO:0043039)	25	0	.21	-	 < 0.01	1.00E00	1.00E00
amino acid activation (GO:0043038)	25	0	.21	-	 < 0.01	1.00E00	1.00E00
folic acid biosynthetic process (GO:0046656)	3	0	.03	-	 < 0.01	1.00E00	1.00E00
folic acid metabolic process (GO:0046655)	4	0	.03	-	 < 0.01	1.00E00	1.00E00
tetrahydrofolate biosynthetic process (GO:0046654)	4	0	.03	-	 < 0.01	1.00E00	1.00E00
tetrahydrofolate metabolic process (GO:0046653)	8	0	.07	-	 < 0.01	1.00E00	1.00E00
protein homotetramerization (GO:0051289)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
GDP-mannose biosynthetic process (GO:0009298)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
pilus assembly (GO:0009297)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
DNA mediated transformation (GO:0009294)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
DIM/DIP cell wall layer assembly (GO:0071770)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
genetic transfer (GO:0009292)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
aggregation of unicellular organisms (GO:0098630)	8	0	.07	-	 < 0.01	1.00E00	1.00E00
ribosomal small subunit assembly (GO:0000028)	5	0	.04	-	 < 0.01	1.00E00	1.00E00
ribosomal large subunit assembly (GO:0000027)	5	0	.04	-	 < 0.01	1.00E00	1.00E00
nicotinamide nucleotide biosynthetic process (GO:0019359)	11	0	.09	-	 < 0.01	1.00E00	1.00E00
glutaminyl-tRNAGln biosynthesis via transamidation (GO:0070681)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
nicotinamide nucleotide biosynthetic process from aspartate (GO:0019355)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
siroheme biosynthetic process (GO:0019354)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
polyprenol biosynthetic process (GO:0016094)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
polyprenol metabolic process (GO:0016093)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
Actinobacterium-type cell wall biogenesis (GO:0071766)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
chromosome organization (GO:0051276)	23	0	.19	-	 < 0.01	1.00E00	1.00E00
beta-glucan catabolic process (GO:0051275)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
beta-glucan metabolic process (GO:0051273)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
negative regulation of cellular component movement (GO:0051271)	8	0	.07	-	 < 0.01	1.00E00	1.00E00
regulation of cellular component movement (GO:0051270)	8	0	.07	-	 < 0.01	1.00E00	1.00E00
regulation of DNA recombination (GO:0000018)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
dolichol metabolic process (GO:0019348)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
contractile ring localization (GO:0036214)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
cellular amine metabolic process (GO:0044106)	18	0	.15	-	 < 0.01	1.00E00	1.00E00
cysteine biosynthetic process (GO:0019344)	5	0	.04	-	 < 0.01	1.00E00	1.00E00
purine ribonucleoside bisphosphate biosynthetic process (GO:0034036)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
purine ribonucleoside bisphosphate metabolic process (GO:0034035)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
peptidoglycan-based cell wall biogenesis (GO:0009273)	24	0	.20	-	 < 0.01	1.00E00	1.00E00
purine nucleoside bisphosphate biosynthetic process (GO:0034033)	13	0	.11	-	 < 0.01	1.00E00	1.00E00
protein tetramerization (GO:0051262)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
purine nucleoside bisphosphate metabolic process (GO:0034032)	15	0	.13	-	 < 0.01	1.00E00	1.00E00
protein homooligomerization (GO:0051260)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
ribonucleoside bisphosphate biosynthetic process (GO:0034030)	13	0	.11	-	 < 0.01	1.00E00	1.00E00
cellular response to hydrogen peroxide (GO:0070301)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
reproduction (GO:0000003)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
rRNA catabolic process (GO:0016075)	4	0	.03	-	 < 0.01	1.00E00	1.00E00
denitrification pathway (GO:0019333)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
deoxyribose phosphate metabolic process (GO:0019692)	6	0	.05	-	 < 0.01	1.00E00	1.00E00
rRNA metabolic process (GO:0016072)	25	0	.21	-	 < 0.01	1.00E00	1.00E00
mRNA metabolic process (GO:0016071)	5	0	.04	-	 < 0.01	1.00E00	1.00E00
RNA metabolic process (GO:0016070)	129	0	1.08	-	 < 0.01	6.25E-01	1.00E00
protein dehydration (GO:0018249)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
protein complex oligomerization (GO:0051259)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
protein polymerization (GO:0051258)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
cellular response to starvation (GO:0009267)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
